--- Log started at 2025-06-06 10:07:58 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length.
2025-06-06 10:07:59 | No objects detected
2025-06-06 10:08:00 | No objects detected
2025-06-06 10:08:01 | No objects detected
2025-06-06 10:08:02 | No objects detected
2025-06-06 10:08:03 | No objects detected
2025-06-06 10:08:17 | Cam 2 | Person 11, Distance: 253.71 cm
2025-06-06 10:08:17 | Cam 2 | Person 12, Distance: 253.71 cm
2025-06-06 10:08:18 | Cam 1 | Person 1, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 2, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 3, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 4, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 5, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 6, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 7, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 8, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 9, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 10, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 11, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 1 | Person 12, Distance: 192.95 cm
2025-06-06 10:08:18 | Cam 2 | Person 1, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 2, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 3, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 4, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 5, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 6, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 7, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 8, Distance: 252.01 cm
2025-06-06 10:08:18 | Cam 2 | Person 9, Distance: 252.01 cm
