--- Log started at 2025-06-06 10:11:12 ---
Error: Camera Cam 1 unavailable for reference capture. Using default focal length.
Error: Camera Cam 2 unavailable for reference capture. Using default focal length.
2025-06-06 10:11:13 | No objects detected
2025-06-06 10:11:14 | No objects detected
2025-06-06 10:11:15 | No objects detected
2025-06-06 10:11:16 | No objects detected
2025-06-06 10:11:27 | Cam 2 | Person 2, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 3, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 4, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 5, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 6, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 7, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 8, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 9, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 10, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 11, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 12, Distance: 272.33 cm
2025-06-06 10:11:27 | Cam 2 | Person 13, Distance: 272.33 cm
2025-06-06 10:11:28 | Cam 1 | Person 1, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 2, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 3, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 4, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 5, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 6, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 7, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 8, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 9, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 10, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 11, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 1 | Person 12, Distance: 228.14 cm
2025-06-06 10:11:28 | Cam 2 | Person 1, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 2, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 3, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 4, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 5, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 6, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 7, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 8, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 9, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 10, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 11, Distance: 271.28 cm
2025-06-06 10:11:28 | Cam 2 | Person 12, Distance: 271.28 cm
2025-06-06 10:11:29 | Cam 1 | Person 1, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 2, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 3, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 4, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 5, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 6, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 7, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 8, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 9, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 10, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 11, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 1 | Person 12, Distance: 227.45 cm
2025-06-06 10:11:29 | Cam 2 | Person 1, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 2, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 3, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 4, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 5, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 6, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 7, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 8, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 9, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 10, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 11, Distance: 271.63 cm
2025-06-06 10:11:29 | Cam 2 | Person 12, Distance: 271.63 cm
2025-06-06 10:11:30 | Cam 1 | Person 1, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 2, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 3, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 4, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 5, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 6, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 7, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 8, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 9, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 10, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 11, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 1 | Person 12, Distance: 229.79 cm
2025-06-06 10:11:30 | Cam 2 | Person 1, Distance: 268.82 cm
